Student_ID,Name,Programming,Hardware Assembly,Calculus,Electronics,Semiconductor Devices
21111765,Terrance Tenkorang,85,76,80,72,74
21144728,Jason Abeiku Techie Boateng,82,81,75,81,86
21172291,Derrick Cudjoe,77,65,73,79,72
21146479,Divine Edem Adjabeng,80,86,70,85,81
21097593,Hubert Ocran,90,84,83,88,91
21058369,Yaw Kwarteng,84,95,74,67,89
21015622,Yaa Peprah,86,80,82,86,93
21285706,Nicholas Konadu,58,62,84,71,68
21081516,Prince Adomako,81,91,90,94,79
21022780,Victor Klutse,96,87,74,83,76
21100814,Ama Adjei,81,93,99,97,95
21052953,George Kwarteng,65,64,66,74,68
21037435,Solomon Yankey,100,76,81,76,83
21292002,Divine Quaye,78,75,84,65,76
21297365,Darko Peprah,94,75,92,89,89
21073206,Terrance Nortey,64,76,71,60,70
21267138,Dominic Darko,100,82,79,68,68
21221333,Raymond Frimpong,50,88,49,66,71
21060058,Jonathan Anane,77,76,75,70,82
21138091,Edward Asamoah,79,57,62,76,61
21084698,Kevin Jato,85,80,83,94,93
21161225,Jason Acheampong,96,69,90,87,94
21065934,Nana Otoo,71,70,73,49,52
21282746,Isaac Quartey,82,70,61,74,74
21177254,Kwesi Rockson,69,66,71,75,70
21120031,Ama Osei,73,86,76,87,66
21299391,Oliver Otoo,79,85,68,83,85
21225994,Owusu Sarpong,57,73,59,50,77
21177892,Afia Asiedu,87,85,90,76,85
21130970,Abena Afriyie,85,70,100,88,89
21123930,Michael Opoku,52,54,72,74,67
21001130,Henry Baah,79,72,74,66,80
21255155,Samuel Ansah,63,76,78,75,72
21164419,Akwasi Amponsah,47,68,62,64,49
21035924,Jason Kyei,87,98,84,86,87
21042982,Nicholas Quartson,47,62,69,77,66
21157284,Victor Ankrah,86,79,78,71,71
21052418,Abena Klutse,78,82,80,84,82
21229734,Kevin Laryea,72,79,64,53,63
21290771,Boamah Gyasi,80,99,82,77,81
21179768,Richard Yankey,83,77,87,91,69
21048390,Wesley Sarpong,78,79,80,67,77
21289239,Patrick Nortey,100,100,100,86,84
21018889,Felix Quartson,67,68,59,81,70
21187595,Richard Asiedu,77,100,100,98,87
21081030,Jason Ofori,84,63,91,80,69
21130111,Frimpong Ofori,94,76,71,87,80
21104633,Victor Domfeh,82,60,77,87,70
21036396,Asante Domfeh,96,80,91,96,86
21014470,Efua Baah,62,71,92,85,74
21228796,Solomon Hlordzi,100,80,95,88,100
21000886,Gerald Klutse,89,79,88,85,100
21173119,Ulrich Ankrah,97,99,82,90,99
21214115,Gyasi Kyei,91,96,75,100,84
21298375,Boamah Kyei,49,68,59,68,79
21168951,William Afriyie,66,61,76,50,69
21148785,Francis Yankey,53,57,78,65,53
21117776,Isaac Tenkorang,100,95,78,79,72
21101940,Henry Fordjour,75,70,82,83,70
21055882,Patrick Konadu,86,70,72,84,86
21069908,William Jato,63,49,54,74,58
21264649,Patrick Mawuli,81,62,64,71,70
21273311,Christian Welbeck,93,82,85,81,88
21167619,Kevin Amoah,87,88,85,87,76
21244278,Nicholas Acheampong,86,86,75,84,63
21010240,Oliver Nkansah,77,70,70,54,78
21286330,Solomon Konadu,68,72,78,77,71
21211978,Michael Nyarko,92,81,91,76,80
21224716,Bright Nyarko,79,89,84,84,89
21198771,Asante Yeboah,80,67,75,72,80
21035975,Yusuf Adjei,76,84,79,84,69
21125066,Efua Odoom,76,83,75,90,94
21085860,Bonsu Gyasi,62,72,66,56,47
21207961,Isaac Bonsu,61,55,76,73,71
21063467,Nathan Adjei,66,63,73,85,80
21006633,Nicholas Bentil,81,91,95,82,91
21273545,Yusuf Anane,69,69,56,56,66
21140716,Gyasi Asiedu,84,75,65,82,67
21176368,Yaw Fordjour,73,74,86,74,83
21146621,Raymond Kwarteng,84,66,76,72,52
21249609,Xavier Bentil,71,71,67,72,82
21160540,Zachary Quartson,65,77,63,81,69
21142038,Bonsu Nimako,93,86,86,89,89
21097071,John Peprah,79,93,100,91,91
21101773,Osei Baffoe,79,76,76,69,74
21028587,Leonard Tetteh,100,88,92,88,99
21250984,Stephen Adomako,83,88,81,85,79
21034258,Lawrence Bentil,77,82,96,100,91
21130123,Esi Nortey,77,69,83,68,69
21199427,Thomas Afriyie,91,56,71,85,65
21108940,Vincent Peprah,67,73,71,76,78
21001402,Martin Dankwa,86,88,93,100,89
21122381,Obeng Welbeck,57,55,49,56,70
21078113,Frimpong Tenkorang,100,93,76,80,96
21245732,Frimpong Gyan,61,62,65,73,67
21168989,Solomon Nimako,100,99,93,79,100
21141301,Oliver Adjei,68,78,69,68,63
21095152,Percy Asumadu,100,73,84,94,90
21084318,Twumasi Opoku,95,80,92,81,100
21019239,Victor Darko,75,79,77,59,75
21284475,William Opoku,88,91,95,88,77
21027059,Richard Anane,69,70,72,59,76
21125460,Daniel Quartey,67,73,66,67,80
21059486,William Cudjoe,97,84,90,83,90
21247579,Terrance Kusi,80,68,69,54,57
21071569,Ama Kwarteng,80,70,87,74,81
21156529,Quentin Quartson,86,87,92,85,90
21289363,Kevin Nkansah,85,63,76,69,58
21215364,Kwabena Ankrah,100,75,95,74,100
21079746,Dominic Osei,71,82,93,70,73
21239561,Kofi Tenkorang,74,85,55,82,76
21138948,Agyei Vordzorgbe,89,94,86,100,73
21255825,Kevin Osei,61,75,70,89,52
21047384,Robert Agyei,67,66,66,82,80
21029422,Osei Ankomah,74,70,78,65,81
21094401,Michael Asamoah,82,83,84,79,83
21133157,Victor Nimako,89,100,93,100,85
21082824,Amoah Rockson,70,69,75,90,77
21253340,Afia Quayson,77,61,65,77,70
21207516,Asante Asante,74,55,82,62,65
21150048,Derrick Tawiah,63,71,87,69,70
21071711,Vincent Agyei,88,87,82,96,92
21154722,Gyasi Yeboah,79,86,95,87,77
21263084,Frimpong Appiah,91,65,82,74,85
21245540,Abena Tenkorang,67,94,75,74,56
21292192,Eric Darko,73,82,83,83,78
21199767,Wesley Dankwah,82,84,80,74,75
21171969,Timothy Konadu,100,98,98,88,88
21019509,Boamah Fordjour,90,100,98,94,95
21283216,Nicholas Rockson,90,76,83,79,78
21146664,Kojo Dankwah,69,64,89,84,79
21192589,Kevin Ziem,81,77,94,71,77
21111204,Xavier Yankey,62,68,65,53,86
21296001,Richard Frimpong,79,73,81,94,76
21001486,Asante Tenkorang,86,68,78,94,92
21069102,Kofi Ankomah,81,68,84,79,84
21059584,Ama Otoo,76,72,61,77,76
21022735,Zachary Inkoom,55,80,83,78,65
21257042,Stephen Bonsu,95,86,92,96,96
21287496,Gyasi Nkansah,56,63,62,63,60
21289058,Prince Asumadu,55,76,65,74,63
21049852,Darko Sarpong,71,68,85,90,89
21048879,Felix Adjabeng,71,84,72,54,60
21215382,Kweku Ohene,64,68,60,65,50
21183560,Maxwell Dankwah,90,89,78,93,74
21291891,Yaw Tawiah,95,86,97,100,89
21003201,James Tenkorang,72,63,62,64,44
21048107,Harold Peprah,64,74,61,79,72
21044541,Kweku Antwi,72,82,79,90,86
21222305,Christian Tawiah,65,73,63,69,79
21255135,Harold Quartey,96,92,100,93,90
21110747,Bright Nimako,75,76,75,70,66
21262281,Maxwell Ankomah,97,77,96,80,91
21040822,Darko Paintsil,59,64,67,72,77
21241223,Robert Gyasi,83,75,85,96,90
21178002,Divine Nkrumah,83,86,85,84,84
21077432,Jason Gyasi,78,82,87,90,93
21039506,David Welbeck,60,72,59,64,78
21169454,Vincent Ankrah,74,74,85,72,72
21029450,Owusu Gyan,85,96,100,93,100
21047341,Timothy Safo,72,57,72,78,61
21021507,Thomas Paintsil,96,100,72,92,78
21180060,Akua Gyan,96,95,97,84,95
21274070,Timothy Ofori,70,80,69,79,63
21175452,Ama Nkrumah,80,81,85,88,100
21078838,Twumasi Amoah,56,50,61,76,63
21044417,Bonsu Nortey,66,66,64,79,79
21275981,Yaa Ziem,85,96,89,96,96
21254946,John Konadu,100,86,88,84,73
21282995,Harold Osei,85,100,97,98,100
21086790,Stephen Adjei,83,62,80,81,68
21235367,Derrick Klutse,77,96,67,85,69
21230999,William Ohene,92,71,85,92,75
21072560,Hubert Amponsah,84,93,100,87,88
21043974,Daniel Anane,70,74,67,52,77
21116411,Thomas Domfeh,81,92,82,94,93
21167082,Adwoa Nkrumah,81,79,80,86,74
21072767,Augustine Dankwa,68,65,64,80,53
21276704,Patrick Twumasi,74,76,85,86,80
21239659,Ama Twumasi,87,72,88,79,78
21225044,Kwame Ussher,79,75,83,73,72
21189060,Ama Jato,41,64,57,62,54
21195717,Hubert Boateng,77,77,68,74,64
21174335,Bright Adjei,61,71,81,87,63
21095566,Bright Frimpong,95,93,83,91,94
21104579,Bonsu Hlordzi,80,69,70,83,73
21025063,Yusuf Nkrumah,82,80,80,85,67
21202713,Agyei Addae,67,63,72,64,77
21225762,Solomon Addae,69,64,69,62,71
21233788,Solomon Sarpong,79,75,98,86,65
21143946,Wesley Acheampong,100,84,81,75,87
21083879,Yaw Tenkorang,67,69,81,79,79
21200725,Nathan Osei,57,70,72,59,71
21040310,Oliver Ocran,60,70,61,85,70
21271447,Henry Nortey,89,88,94,63,97
21149724,Christian Takyi,90,90,94,99,100
21167556,Amoah Frimpong,65,49,61,73,55
21091273,Eric Hlordzi,86,86,91,93,92
21193415,William Mawuli,84,79,80,70,100
21250958,Harold Opoku,69,84,83,83,86
21271245,Amoah Adjabeng,82,80,67,87,97
21226816,Edward Acheampong,81,81,82,84,76
21272051,Asare Amoah,68,82,94,73,86
21279696,Yaa Gyan,100,100,99,100,90
21295498,Kwabena Owusu,77,99,91,78,83
21299964,Nicholas Vordzorgbe,100,95,81,89,90
21212909,Boamah Kusi,94,86,84,80,93
21178358,Solomon Tenkorang,80,70,82,74,64
21269997,Maxwell Gyasi,83,75,79,71,76
21026531,Osei Aidoo,73,74,81,74,73
21163952,John Ofori,79,79,70,77,64
21047211,Kenneth Gyan,75,69,68,72,53
21246723,Asare Klutse,89,93,81,98,79
21211421,Eric Adjei,80,73,66,75,63
21288283,Asante Vordzorgbe,98,89,89,98,96
21177778,Maxwell Poku,85,87,76,79,90
21248378,Gerald Kusi,85,74,76,77,92
21085197,Kenneth Ussher,98,83,82,92,82
21248980,Kwesi Dankwah,76,65,55,63,68
21013970,Raymond Otoo,89,72,77,65,73
21089397,Harold Welbeck,82,81,82,99,100
21016552,Oliver Twumasi,89,83,89,92,70
21247257,Akwasi Ocran,72,67,72,60,57
21164496,David Kusi,61,71,67,52,57
21253849,John Asiedu,65,70,73,82,74
21151521,Richard Bentil,65,76,87,70,73
21284788,George Acquah,88,70,89,79,80
21041434,Amoah Afriyie,92,100,95,100,100
21071970,Afia Ussher,87,87,89,87,83
21122073,Kweku Agyei,66,78,68,66,92
21082806,Martin Otoo,65,62,59,68,76
21031018,Yaa Paintsil,69,79,98,75,90
21092163,Kojo Acquah,93,59,79,96,74
21019643,Kofi Laryea,50,54,61,73,59
21070359,Edward Nyarko,67,76,79,80,83
21134880,James Asante,89,98,90,87,83
21212593,Patrick Hlordzi,68,85,81,77,79
21169660,Terrance Mensah,69,81,74,82,66
21137129,Yusuf Poku,87,93,100,87,93
21263465,Bonsu Cudjoe,98,89,88,88,95
21195887,Nicholas Mawuli,73,71,56,76,58
21042923,Harold Dankwa,64,62,62,64,56
